        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -19.70000076     -29016.75195312     -8.21794815E+01      2.83659226E-03     -2.71438276E-12        5.505464E+06
        -19.67499924     -29014.61132812     -8.19824829E+01      2.82981037E-03     -2.71167117E-12        5.501058E+06
        -19.64999962     -29012.47265625     -8.18050613E+01      2.82303384E-03     -2.70921610E-12        5.496648E+06
        -19.62500000     -29010.33203125     -8.15674210E+01      2.81626428E-03     -2.70701669E-12        5.492234E+06
        -19.60000038     -29008.19335938     -8.13899078E+01      2.80949869E-03     -2.70426476E-12        5.487816E+06
        -19.57500076     -29006.05664062     -8.12198105E+01      2.80274288E-03     -2.70123680E-12        5.483396E+06
        -19.54999924     -29003.91796875     -8.10136337E+01      2.79599265E-03     -2.69979720E-12        5.478970E+06
        -19.52499962     -29001.78125000     -8.07759781E+01      2.78924382E-03     -2.69700473E-12        5.474542E+06
        -19.50000000     -28999.64257812     -8.05779190E+01      2.78250757E-03     -2.69367558E-12        5.470112E+06
        -19.47500038     -28997.50585938     -8.03991776E+01      2.77577550E-03     -2.69192307E-12        5.465677E+06
        -19.45000076     -28995.36914062     -8.02005386E+01      2.76904786E-03     -2.68988803E-12        5.461238E+06
        -19.42499924     -28993.23242188     -7.99798355E+01      2.76232604E-03     -2.68599270E-12        5.456798E+06
        -19.39999962     -28991.09570312     -7.97494812E+01      2.75561796E-03     -2.68262365E-12        5.452354E+06
        -19.37500000     -28988.95898438     -7.95660324E+01      2.74891313E-03     -2.68133953E-12        5.447906E+06
        -19.35000038     -28986.82226562     -7.93671570E+01      2.74221133E-03     -2.67950983E-12        5.443454E+06
        -19.32500076     -28984.68554688     -7.91893158E+01      2.73551559E-03     -2.67688042E-12        5.438997E+06
        -19.29999924     -28982.54882812     -7.90044785E+01      2.72882683E-03     -2.67501949E-12        5.434535E+06
        -19.27499962     -28980.41406250     -7.88073959E+01      2.72214040E-03     -2.67365687E-12        5.430069E+06
        -19.25000000     -28978.27734375     -7.85702286E+01      2.71545863E-03     -2.66968392E-12        5.425598E+06
        -19.22500038     -28976.14257812     -7.83567886E+01      2.70879199E-03     -2.66622922E-12        5.421127E+06
        -19.20000076     -28974.00781250     -7.81862183E+01      2.70212744E-03     -2.66482344E-12        5.416652E+06
        -19.17499924     -28971.87304688     -7.79903183E+01      2.69546779E-03     -2.66262576E-12        5.412173E+06
        -19.14999962     -28969.73828125     -7.77905197E+01      2.68881442E-03     -2.66066921E-12        5.407690E+06
